,dtype,missing,unique,mean,std,min,max
Academic,float64,0,2,0.04627766599597585,0.21029747403348434,0.0,1.0
Campus,float64,0,2,0.02012072434607646,0.1405547244226916,0.0,1.0
Community,float64,0,2,0.04024144869215292,0.1967230072589219,0.0,1.0
Drink (Coffee),float64,0,427,747.2881086519114,467.7297174905983,0.0,2584.82
Drink (Non Coffee),float64,0,424,456.4930583501006,349.31737170501816,0.0,1904.93
Food,float64,0,424,242.14336016096578,163.29395901682392,0.0,827.88
Holiday,float64,0,2,0.02414486921529175,0.15365350085642857,0.0,1.0
Other,float64,0,159,41.857907444668,115.35461344913554,0.0,1075.0
Popular,float64,0,2,0.06639839034205232,0.2492280546471649,0.0,1.0
Retail,float64,0,128,16.001026156941652,27.65180445960622,0.0,259.6
Sports,float64,0,2,0.04627766599597585,0.21029747403348434,0.0,1.0
Total Sales,float64,0,428,1503.7834607645873,962.8573177994832,0.0,4576.73
date,datetime64[ns],0,497,,,,
max_temp_celsius,float64,33,278,15.485991379310345,11.171736064910824,-15.9,34.5
max_temp_fahrenheit,float64,33,278,59.874784482758635,20.109124916839484,3.3800000000000026,94.1
max_wind_speed_kmh,float64,33,217,21.30603448275862,6.952592179928768,6.8,46.3
max_wind_speed_mph,float64,33,217,13.238951952586207,4.320139155434518,4.2253228,28.7694773
min_temp_celsius,float64,33,267,5.88125,10.356563936782985,-23.3,24.2
min_temp_fahrenheit,float64,33,267,42.58625,18.641815086209373,-9.940000000000005,75.56
precipitation_inches,float64,33,104,0.10208220200923158,0.2405077857381383,0.0,2.3267716535433074
precipitation_mm,float64,33,104,2.5928879310344826,6.1088977577487125,0.0,59.1
